,ticker,date,volume
13,AAP,2016-01-10,0.02
311,AN,2016-01-10,-0.02
75,BJRI,2016-01-10,0.02
95,BLMN,2016-01-10,-0.02
1221,BWLD,2016-01-10,-0.02
131,CAB,2016-01-10,-0.02
140,CAKE,2016-01-10,0.02
149,CAR,2016-01-10,-0.02
185,CHEF,2016-01-10,-0.02
194,CHUY,2016-01-10,0.02
203,CMG,2016-01-10,0.02
239,CVS,2016-01-10,0.02
257,DFRG,2016-01-10,-0.02
293,DNKN,2016-01-10,0.02
355,FRGI,2016-01-10,-0.02
364,FUN,2016-01-10,-0.02
431,HVT,2016-01-10,-0.02
440,HZO,2016-01-10,0.02
457,JACK,2016-01-10,-0.02
505,LAD,2016-01-10,0.02
523,LL,2016-01-10,-0.02
550,MCD,2016-01-10,-0.02
568,MNRO,2016-01-10,0.02
577,MUSA,2016-01-10,-0.02
595,ORLY,2016-01-10,0.02
604,PAG,2016-01-10,-0.02
613,PBPB,2016-01-10,0.02
648,PZZA,2016-01-10,0.02
665,RCII,2016-01-10,-0.02
692,RRGB,2016-01-10,-0.02
701,RUSHA,2016-01-10,-0.02
710,RUTH,2016-01-10,-0.02
719,SAH,2016-01-10,0.02
728,SBH,2016-01-10,-0.02
738,SEAS,2016-01-10,-0.02
747,SFM,2016-01-10,0.02
774,SIX,2016-01-10,-0.02
826,TA,2016-01-10,-0.02
862,TTS,2016-01-10,0.02
871,TUES,2016-01-10,-0.02
880,TXRH,2016-01-10,0.02
889,WEN,2016-01-10,-0.02
916,WOOF,2016-01-10,0.02
934,YUM,2016-01-10,-0.02
41,AAN,2016-02-18,close all
132,AAP,2016-02-11,close all
312,AN,2016-01-28,close all
751,BJRI,2016-02-19,close all
951,BLMN,2016-02-17,close all
1222,BWLD,2016-02-04,close all
1311,CAB,2016-02-18,close all
1401,CAKE,2016-02-17,close all
1491,CAR,2016-02-24,close all
1851,CHEF,2016-02-19,close all
1941,CHUY,2016-03-02,close all
2031,CMG,2016-02-03,close all
2391,CVS,2016-02-09,close all
2571,DFRG,2016-03-01,close all
2931,DNKN,2016-02-04,close all
3551,FRGI,2016-02-25,close all
3641,FUN,2016-02-17,close all
4311,HVT,2016-02-25,close all
4401,HZO,2016-02-04,close all
4571,JACK,2016-02-18,close all
5051,LAD,2016-02-24,close all
5231,LL,2016-02-29,close all
5501,MCD,2016-01-25,close all
5681,MNRO,2016-01-26,close all
5771,MUSA,2016-02-04,close all
5951,ORLY,2016-02-11,close all
6041,PAG,2016-02-11,close all
6131,PBPB,2016-02-17,close all
6481,PZZA,2016-02-24,close all
6651,RCII,2016-02-02,close all
6921,RRGB,2016-02-12,close all
7011,RUSHA,2016-02-10,close all
7101,RUTH,2016-02-12,close all
7191,SAH,2016-02-23,close all
7281,SBH,2016-02-04,close all
7381,SEAS,2016-02-25,close all
7471,SFM,2016-02-25,close all
7741,SIX,2016-02-18,close all
8261,TA,2016-03-14,close all
8621,TTS,2016-02-16,close all
8711,TUES,2016-01-29,close all
8801,TXRH,2016-02-23,close all
8891,WEN,2016-02-09,close all
9161,WOOF,2016-02-11,close all
9341,YUM,2016-02-04,close all
5,AAN,2016-04-10,-0.02
14,AAP,2016-04-10,-0.02
32,AN,2016-04-10,0.02
76,BJRI,2016-04-10,-0.02
96,BLMN,2016-04-10,-0.02
123,BWLD,2016-04-10,-0.02
1321,CAB,2016-04-10,0.02
141,CAKE,2016-04-10,-0.02
150,CAR,2016-04-10,-0.02
186,CHEF,2016-04-10,0.02
195,CHUY,2016-04-10,0.02
204,CMG,2016-04-10,0.02
240,CVS,2016-04-10,-0.02
258,DFRG,2016-04-10,0.02
294,DNKN,2016-04-10,0.02
356,FRGI,2016-04-10,0.02
365,FUN,2016-04-10,0.02
432,HVT,2016-04-10,0.02
441,HZO,2016-04-10,0.02
458,JACK,2016-04-10,0.02
506,LAD,2016-04-10,0.02
524,LL,2016-04-10,-0.02
533,LOCO,2016-04-10,-0.02
551,MCD,2016-04-10,0.02
569,MNRO,2016-04-10,0.02
578,MUSA,2016-04-10,0.02
596,ORLY,2016-04-10,0.02
605,PAG,2016-04-10,0.02
614,PBPB,2016-04-10,0.02
649,PZZA,2016-04-10,-0.02
666,RCII,2016-04-10,-0.02
693,RRGB,2016-04-10,-0.02
702,RUSHA,2016-04-10,0.02
711,RUTH,2016-04-10,0.02
720,SAH,2016-04-10,0.02
729,SBH,2016-04-10,0.02
739,SEAS,2016-04-10,0.02
775,SIX,2016-04-10,0.02
827,TA,2016-04-10,-0.02
863,TTS,2016-04-10,-0.02
872,TUES,2016-04-10,0.02
881,TXRH,2016-04-10,-0.02
890,WEN,2016-04-10,0.02
917,WOOF,2016-04-10,0.02
935,YUM,2016-04-10,0.02
51,AAN,2016-04-29,close all
142,AAP,2016-05-19,close all
321,AN,2016-04-22,close all
761,BJRI,2016-04-22,close all
961,BLMN,2016-04-26,close all
1231,BWLD,2016-04-27,close all
1322,CAB,2016-04-28,close all
1411,CAKE,2016-04-28,close all
1501,CAR,2016-05-04,close all
1861,CHEF,2016-05-04,close all
1951,CHUY,2016-05-04,close all
2041,CMG,2016-04-27,close all
2401,CVS,2016-05-03,close all
2581,DFRG,2016-04-26,close all
2941,DNKN,2016-04-28,close all
3561,FRGI,2016-05-10,close all
3651,FUN,2016-05-04,close all
4321,HVT,2016-05-03,close all
4411,HZO,2016-04-26,close all
4581,JACK,2016-05-12,close all
5061,LAD,2016-04-21,close all
5241,LL,2016-05-10,close all
5331,LOCO,2016-05-06,close all
5511,MCD,2016-04-22,close all
5691,MNRO,2016-05-19,close all
5781,MUSA,2016-05-09,close all
5961,ORLY,2016-04-28,close all
6051,PAG,2016-04-26,close all
6141,PBPB,2016-05-04,close all
6491,PZZA,2016-05-04,close all
6661,RCII,2016-04-28,close all
6931,RRGB,2016-05-17,close all
7021,RUSHA,2016-04-21,close all
7111,RUTH,2016-04-28,close all
7201,SAH,2016-04-26,close all
7291,SBH,2016-05-05,close all
7391,SEAS,2016-05-05,close all
7751,SIX,2016-04-27,close all
8271,TA,2016-05-09,close all
8631,TTS,2016-04-19,close all
8721,TUES,2016-04-29,close all
8811,TXRH,2016-05-03,close all
8901,WEN,2016-05-11,close all
9171,WOOF,2016-04-27,close all
9351,YUM,2016-04-21,close all
6,AAN,2016-07-10,-0.02
15,AAP,2016-07-10,0.02
33,AN,2016-07-10,-0.02
77,BJRI,2016-07-10,-0.02
97,BLMN,2016-07-10,-0.02
124,BWLD,2016-07-10,0.02
133,CAB,2016-07-10,0.02
1421,CAKE,2016-07-10,-0.02
151,CAR,2016-07-10,-0.02
187,CHEF,2016-07-10,-0.02
196,CHUY,2016-07-10,-0.02
205,CMG,2016-07-10,-0.02
241,CVS,2016-07-10,-0.02
259,DFRG,2016-07-10,0.02
295,DNKN,2016-07-10,0.02
357,FRGI,2016-07-10,-0.02
366,FUN,2016-07-10,-0.02
424,HTZ,2016-07-10,0.02
433,HVT,2016-07-10,0.02
442,HZO,2016-07-10,-0.02
459,JACK,2016-07-10,-0.02
507,LAD,2016-07-10,0.02
525,LL,2016-07-10,-0.02
534,LOCO,2016-07-10,-0.02
552,MCD,2016-07-10,0.02
570,MNRO,2016-07-10,0.02
579,MUSA,2016-07-10,0.02
597,ORLY,2016-07-10,-0.02
606,PAG,2016-07-10,-0.02
615,PBPB,2016-07-10,-0.02
650,PZZA,2016-07-10,0.02
667,RCII,2016-07-10,-0.02
694,RRGB,2016-07-10,0.02
703,RUSHA,2016-07-10,0.02
712,RUTH,2016-07-10,-0.02
7211,SAH,2016-07-10,-0.02
730,SBH,2016-07-10,-0.02
740,SEAS,2016-07-10,-0.02
776,SIX,2016-07-10,0.02
828,TA,2016-07-10,0.02
864,TTS,2016-07-10,-0.02
873,TUES,2016-07-10,0.02
882,TXRH,2016-07-10,-0.02
891,WEN,2016-07-10,-0.02
918,WOOF,2016-07-10,-0.02
936,YUM,2016-07-10,0.02
61,AAN,2016-07-29,close all
152,AAP,2016-08-16,close all
331,AN,2016-07-29,close all
771,BJRI,2016-07-27,close all
971,BLMN,2016-07-29,close all
1241,BWLD,2016-07-27,close all
1331,CAB,2016-07-28,close all
1422,CAKE,2016-07-28,close all
1511,CAR,2016-08-03,close all
1871,CHEF,2016-08-03,close all
1961,CHUY,2016-08-03,close all
2051,CMG,2016-07-22,close all
2411,CVS,2016-08-02,close all
2591,DFRG,2016-07-21,close all
2951,DNKN,2016-07-21,close all
3571,FRGI,2016-08-04,close all
3661,FUN,2016-08-03,close all
4241,HTZ,2016-08-09,close all
4331,HVT,2016-08-02,close all
4421,HZO,2016-07-26,close all
4591,JACK,2016-08-04,close all
5071,LAD,2016-07-28,close all
5251,LL,2016-07-27,close all
5341,LOCO,2016-08-05,close all
5521,MCD,2016-07-26,close all
5701,MNRO,2016-07-28,close all
5791,MUSA,2016-08-04,close all
5971,ORLY,2016-07-28,close all
6061,PAG,2016-07-28,close all
6151,PBPB,2016-08-03,close all
6501,PZZA,2016-08-03,close all
6671,RCII,2016-07-28,close all
6941,RRGB,2016-08-09,close all
7031,RUSHA,2016-07-27,close all
7121,RUTH,2016-07-29,close all
7212,SAH,2016-07-26,close all
7301,SBH,2016-08-04,close all
7401,SEAS,2016-08-04,close all
7761,SIX,2016-07-27,close all
8281,TA,2016-08-08,close all
8641,TTS,2016-07-19,close all
8731,TUES,2016-08-19,close all
8821,TXRH,2016-08-02,close all
8911,WEN,2016-08-10,close all
9181,WOOF,2016-07-27,close all
9361,YUM,2016-07-14,close all
7,AAN,2016-10-10,0.02
16,AAP,2016-10-10,0.02
34,AN,2016-10-10,-0.02
78,BJRI,2016-10-10,0.02
98,BLMN,2016-10-10,0.02
125,BWLD,2016-10-10,0.02
134,CAB,2016-10-10,0.02
143,CAKE,2016-10-10,0.02
1521,CAR,2016-10-10,-0.02
188,CHEF,2016-10-10,0.02
197,CHUY,2016-10-10,-0.02
206,CMG,2016-10-10,-0.02
242,CVS,2016-10-10,-0.02
260,DFRG,2016-10-10,0.02
296,DNKN,2016-10-10,0.02
358,FRGI,2016-10-10,-0.02
367,FUN,2016-10-10,-0.02
403,HABT,2016-10-10,0.02
425,HTZ,2016-10-10,-0.02
434,HVT,2016-10-10,-0.02
443,HZO,2016-10-10,0.02
460,JACK,2016-10-10,0.02
508,LAD,2016-10-10,-0.02
526,LL,2016-10-10,0.02
535,LOCO,2016-10-10,-0.02
553,MCD,2016-10-10,-0.02
571,MNRO,2016-10-10,-0.02
580,MUSA,2016-10-10,-0.02
598,ORLY,2016-10-10,-0.02
607,PAG,2016-10-10,0.02
616,PBPB,2016-10-10,-0.02
651,PZZA,2016-10-10,0.02
668,RCII,2016-10-10,0.02
695,RRGB,2016-10-10,0.02
704,RUSHA,2016-10-10,0.02
713,RUTH,2016-10-10,0.02
722,SAH,2016-10-10,-0.02
7311,SBH,2016-10-10,-0.02
7411,SEAS,2016-10-10,-0.02
750,SFM,2016-10-10,0.02
777,SIX,2016-10-10,-0.02
829,TA,2016-10-10,0.02
865,TTS,2016-10-10,0.02
874,TUES,2016-10-10,0.02
883,TXRH,2016-10-10,0.02
892,WEN,2016-10-10,-0.02
919,WOOF,2016-10-10,-0.02
71,AAN,2016-10-28,close all
161,AAP,2016-11-15,close all
341,AN,2016-10-28,close all
781,BJRI,2016-10-20,close all
981,BLMN,2016-10-28,close all
1251,BWLD,2016-10-27,close all
1341,CAB,2016-10-26,close all
1431,CAKE,2016-10-27,close all
1522,CAR,2016-11-03,close all
1881,CHEF,2016-11-03,close all
1971,CHUY,2016-11-02,close all
2061,CMG,2016-10-26,close all
2421,CVS,2016-11-08,close all
2601,DFRG,2016-10-14,close all
2961,DNKN,2016-10-20,close all
3581,FRGI,2016-11-08,close all
3671,FUN,2016-11-02,close all
4031,HABT,2016-11-03,close all
4251,HTZ,2016-11-08,close all
4341,HVT,2016-11-01,close all
4431,HZO,2016-11-01,close all
4601,JACK,2016-11-22,close all
5081,LAD,2016-10-20,close all
5261,LL,2016-10-31,close all
5351,LOCO,2016-11-04,close all
5531,MCD,2016-10-21,close all
5711,MNRO,2016-10-20,close all
5801,MUSA,2016-11-03,close all
5981,ORLY,2016-10-27,close all
6071,PAG,2016-10-26,close all
6161,PBPB,2016-11-02,close all
6511,PZZA,2016-11-02,close all
6681,RCII,2016-10-27,close all
6951,RRGB,2016-11-03,close all
7041,RUSHA,2016-10-27,close all
7131,RUTH,2016-10-28,close all
7221,SAH,2016-11-01,close all
7312,SBH,2016-11-15,close all
7412,SEAS,2016-11-08,close all
7501,SFM,2016-11-03,close all
7771,SIX,2016-10-26,close all
8291,TA,2016-11-08,close all
8651,TTS,2016-10-18,close all
8741,TUES,2016-10-27,close all
8831,TXRH,2016-11-02,close all
8921,WEN,2016-11-09,close all
9191,WOOF,2016-10-26,close all
8,AAN,2017-01-10,0.02
17,AAP,2017-01-10,0.02
35,AN,2017-01-10,-0.02
79,BJRI,2017-01-10,-0.02
99,BLMN,2017-01-10,-0.02
126,BWLD,2017-01-10,0.02
135,CAB,2017-01-10,-0.02
144,CAKE,2017-01-10,-0.02
153,CAR,2017-01-10,0.02
189,CHEF,2017-01-10,0.02
198,CHUY,2017-01-10,0.02
207,CMG,2017-01-10,-0.02
243,CVS,2017-01-10,-0.02
261,DFRG,2017-01-10,-0.02
297,DNKN,2017-01-10,0.02
359,FRGI,2017-01-10,0.02
368,FUN,2017-01-10,0.02
404,HABT,2017-01-10,0.02
426,HTZ,2017-01-10,0.02
435,HVT,2017-01-10,-0.02
444,HZO,2017-01-10,0.02
461,JACK,2017-01-10,-0.02
509,LAD,2017-01-10,0.02
527,LL,2017-01-10,-0.02
536,LOCO,2017-01-10,0.02
554,MCD,2017-01-10,0.02
572,MNRO,2017-01-10,-0.02
581,MUSA,2017-01-10,-0.02
599,ORLY,2017-01-10,0.02
608,PAG,2017-01-10,0.02
617,PBPB,2017-01-10,0.02
652,PZZA,2017-01-10,-0.02
669,RCII,2017-01-10,0.02
696,RRGB,2017-01-10,0.02
705,RUSHA,2017-01-10,0.02
714,RUTH,2017-01-10,-0.02
723,SAH,2017-01-10,-0.02
732,SBH,2017-01-10,-0.02
742,SEAS,2017-01-10,0.02
778,SIX,2017-01-10,0.02
830,TA,2017-01-10,0.02
866,TTS,2017-01-10,0.02
875,TUES,2017-01-10,-0.02
884,TXRH,2017-01-10,0.02
893,WEN,2017-01-10,0.02
920,WOOF,2017-01-10,0.02
938,YUM,2017-01-10,0.02
81,AAN,2017-02-17,close all
171,AAP,2017-02-21,close all
351,AN,2017-02-03,close all
791,BJRI,2017-02-24,close all
991,BLMN,2017-02-17,close all
1261,BWLD,2017-02-08,close all
1351,CAB,2017-02-16,close all
1441,CAKE,2017-02-23,close all
1531,CAR,2017-02-16,close all
1891,CHEF,2017-02-22,close all
1981,CHUY,2017-03-01,close all
2071,CMG,2017-02-03,close all
2431,CVS,2017-02-09,close all
2611,DFRG,2017-02-24,close all
2971,DNKN,2017-02-09,close all
3591,FRGI,2017-02-28,close all
3681,FUN,2017-02-15,close all
4041,HABT,2017-03-03,close all
4261,HTZ,2017-02-28,close all
4351,HVT,2017-02-22,close all
4441,HZO,2017-01-24,close all
4611,JACK,2017-02-23,close all
5091,LAD,2017-02-15,close all
5271,LL,2017-02-21,close all
5361,LOCO,2017-03-10,close all
5541,MCD,2017-01-23,close all
5721,MNRO,2017-02-01,close all
5811,MUSA,2017-02-02,close all
5991,ORLY,2017-02-08,close all
6081,PAG,2017-02-07,close all
6171,PBPB,2017-02-15,close all
6521,PZZA,2017-02-22,close all
6691,RCII,2017-02-14,close all
6961,RRGB,2017-02-22,close all
7051,RUSHA,2017-02-16,close all
7141,RUTH,2017-02-17,close all
7231,SAH,2017-02-21,close all
7321,SBH,2017-02-02,close all
7421,SEAS,2017-02-28,close all
7781,SIX,2017-02-22,close all
8301,TA,2017-02-28,close all
8661,TTS,2017-02-14,close all
8751,TUES,2017-02-03,close all
8841,TXRH,2017-02-22,close all
8931,WEN,2017-02-16,close all
9201,WOOF,2017-02-09,close all
9381,YUM,2017-02-09,close all
9,AAN,2017-04-10,-0.02
18,AAP,2017-04-10,-0.02
36,AN,2017-04-10,0.02
80,BJRI,2017-04-10,-0.02
100,BLMN,2017-04-10,-0.02
127,BWLD,2017-04-10,-0.02
136,CAB,2017-04-10,-0.02
145,CAKE,2017-04-10,-0.02
154,CAR,2017-04-10,-0.02
190,CHEF,2017-04-10,-0.02
199,CHUY,2017-04-10,-0.02
208,CMG,2017-04-10,0.02
244,CVS,2017-04-10,-0.02
262,DFRG,2017-04-10,-0.02
298,DNKN,2017-04-10,0.02
360,FRGI,2017-04-10,-0.02
369,FUN,2017-04-10,-0.02
405,HABT,2017-04-10,-0.02
427,HTZ,2017-04-10,-0.02
436,HVT,2017-04-10,0.02
445,HZO,2017-04-10,-0.02
462,JACK,2017-04-10,-0.02
510,LAD,2017-04-10,-0.02
528,LL,2017-04-10,0.02
537,LOCO,2017-04-10,-0.02
555,MCD,2017-04-10,0.02
573,MNRO,2017-04-10,-0.02
582,MUSA,2017-04-10,-0.02
600,ORLY,2017-04-10,-0.02
609,PAG,2017-04-10,-0.02
618,PBPB,2017-04-10,-0.02
653,PZZA,2017-04-10,-0.02
670,RCII,2017-04-10,-0.02
697,RRGB,2017-04-10,-0.02
706,RUSHA,2017-04-10,0.02
715,RUTH,2017-04-10,-0.02
724,SAH,2017-04-10,0.02
733,SBH,2017-04-10,-0.02
743,SEAS,2017-04-10,-0.02
779,SIX,2017-04-10,-0.02
831,TA,2017-04-10,0.02
867,TTS,2017-04-10,-0.02
876,TUES,2017-04-10,0.02
885,TXRH,2017-04-10,-0.02
894,WEN,2017-04-10,0.02
921,WOOF,2017-04-10,-0.02
939,YUM,2017-04-10,0.02
91,AAN,2017-04-28,close all
181,AAP,2017-05-24,close all
361,AN,2017-04-25,close all
801,BJRI,2017-04-28,close all
1001,BLMN,2017-04-26,close all
1271,BWLD,2017-04-27,close all
1361,CAB,2017-05-04,close all
1451,CAKE,2017-05-04,close all
1541,CAR,2017-05-04,close all
1901,CHEF,2017-05-10,close all
1991,CHUY,2017-05-05,close all
2081,CMG,2017-04-26,close all
2441,CVS,2017-05-02,close all
2621,DFRG,2017-04-25,close all
2981,DNKN,2017-05-04,close all
3601,FRGI,2017-05-09,close all
3691,FUN,2017-05-03,close all
4051,HABT,2017-05-04,close all
4271,HTZ,2017-05-09,close all
4361,HVT,2017-05-02,close all
4451,HZO,2017-04-27,close all
4621,JACK,2017-05-17,close all
5101,LAD,2017-04-19,close all
5281,LL,2017-05-02,close all
5371,LOCO,2017-05-05,close all
5551,MCD,2017-04-25,close all
5731,MNRO,2017-05-18,close all
5821,MUSA,2017-05-02,close all
6001,ORLY,2017-04-27,close all
6091,PAG,2017-04-26,close all
6181,PBPB,2017-05-03,close all
6531,PZZA,2017-05-03,close all
6701,RCII,2017-05-02,close all
6971,RRGB,2017-05-17,close all
7061,RUSHA,2017-04-25,close all
7151,RUTH,2017-05-05,close all
7241,SAH,2017-04-26,close all
7331,SBH,2017-05-04,close all
7431,SEAS,2017-05-09,close all
7791,SIX,2017-04-26,close all
8311,TA,2017-05-09,close all
8671,TTS,2017-04-18,close all
8761,TUES,2017-05-04,close all
8851,TXRH,2017-05-02,close all
8941,WEN,2017-05-10,close all
9211,WOOF,2017-04-28,close all
9391,YUM,2017-05-03,close all
19,AEO,2015-05-10,0.02
54,BBY,2015-05-10,-0.02
63,BIG,2015-05-10,-0.02
811,BKE,2015-05-10,-0.02
1011,BOBE,2015-05-10,0.02
110,BURL,2015-05-10,-0.02
164,CATO,2015-05-10,-0.02
173,CBRL,2015-05-10,0.02
209,CONN,2015-05-10,0.02
227,CTRN,2015-05-10,-0.02
245,DDS,2015-05-10,-0.02
263,DG,2015-05-10,-0.02
272,DKS,2015-05-10,-0.02
2811,DLTR,2015-05-10,0.02
299,DSW,2015-05-10,-0.02
325,FIVE,2015-05-10,-0.02
334,FL,2015-05-10,-0.02
343,FRAN,2015-05-10,-0.02
379,GME,2015-05-10,-0.02
388,GPS,2015-05-10,-0.02
406,HD,2015-05-10,0.02
415,HIBB,2015-05-10,-0.02
463,JCP,2015-05-10,-0.02
472,JWN,2015-05-10,-0.02
493,KSS,2015-05-10,-0.02
511,LB,2015-05-10,-0.02
538,LOW,2015-05-10,0.02
583,M,2015-05-10,-0.02
636,PLCE,2015-05-10,-0.02
680,ROST,2015-05-10,-0.02
